created_at,full_text,location,mentions,tokens,stemmed_tokens,clean_text
Tue Sep 17 23:22:40 +0000 2024,Ada yg main fufufafa Ada yg nebeng tapi temannya gak ikut Ada yg jual sedimen,"Pangkajene Kepulauan, Sulawesi",['@MasBRO_back'],"['yg', 'main', 'fufufafa', 'yg', 'nebeng', 'temannya', 'gak', 'yg', 'jual', 'sedimen']","['yg', 'main', 'fufufafa', 'yg', 'nebeng', 'teman', 'gak', 'yg', 'jual', 'sedimen']",yg main fufufafa yg nebeng teman gak yg jual sedimen
Tue Sep 17 23:22:31 +0000 2024,Bearti secara gk langsung mengakui fufufafa itu gibran,,['@msaid_didu'],"['Bearti', 'gk', 'langsung', 'mengakui', 'fufufafa', 'gibran']","['bearti', 'gk', 'langsung', 'aku', 'fufufafa', 'gibran']",bearti gk langsung aku fufufafa gibran
Tue Sep 17 23:22:22 +0000 2024,Ketahuan pantas fufufafa di bela bpk ini,,['@MichelAdam7__'],"['Ketahuan', 'fufufafa', 'bela', 'bpk']","['tahu', 'fufufafa', 'bela', 'bpk']",tahu fufufafa bela bpk
Tue Sep 17 23:22:21 +0000 2024,Pasukan Berani Mati Demi Sesuap Nasi Bungkus Seharga Ribu Tags Mulyono Kaesang Pangarep Memalukan Fufufafa Jet Pribadi Nebeng Temen Pagiii,Indonesia ,[],"['Pasukan', 'Berani', 'Mati', 'Sesuap', 'Nasi', 'Bungkus', 'Seharga', 'Ribu', 'Tags', 'Mulyono', 'Kaesang', 'Pangarep', 'Memalukan', 'Fufufafa', 'Jet', 'Pribadi', 'Nebeng', 'Temen', 'Pagiii']","['pasu', 'berani', 'mati', 'suap', 'nasi', 'bungkus', 'harga', 'ribu', 'tags', 'mulyono', 'kaesang', 'pangarep', 'malu', 'fufufafa', 'jet', 'pribadi', 'nebeng', 'temen', 'pagiii']",pasu berani mati suap nasi bungkus harga ribu tags mulyono kaesang pangarep malu fufufafa jet pribadi nebeng temen pagiii
Tue Sep 17 23:21:45 +0000 2024,Keponakan ini jd fokus fufufafa,Jakarta Capital Region,"['@HumorJonTampan', '@Aryprasetyo85', '@__AnakKolong', '@elsaday__', '@NgkongRoses', '@den_maseh', '@AnakTangsiAD', '@Anak__Ogi', '@seruanhl', '@03__nakula']","['Keponakan', 'jd', 'fokus', 'fufufafa']","['keponakan', 'jd', 'fokus', 'fufufafa']",keponakan jd fokus fufufafa
Tue Sep 17 23:21:23 +0000 2024,Yg manis akan pait pd waktunya,,['@Cimolkeju__'],"['Yg', 'manis', 'pait', 'pd']","['yg', 'manis', 'pait', 'pd']",yg manis pait pd
Tue Sep 17 23:21:11 +0000 2024,Rakyat kita itu sepertinya dianggap Bodoh oleh satu Keluarga Mulyono Dia Pikir apa yg mereka ucapkan akan diterima dan ditelan Mentahmentah kaya Jamaah Fufufafa alias kaum Batre Kembung yg memang nalar udah Mati Dasar kelakuan keluarga Kere Munggah Bale bikin Rusak akal sehat,,[],"['Rakyat', 'dianggap', 'Bodoh', 'Keluarga', 'Mulyono', 'Pikir', 'yg', 'ucapkan', 'diterima', 'ditelan', 'Mentahmentah', 'kaya', 'Jamaah', 'Fufufafa', 'alias', 'kaum', 'Batre', 'Kembung', 'yg', 'nalar', 'udah', 'Mati', 'Dasar', 'kelakuan', 'keluarga', 'Kere', 'Munggah', 'Bale', 'bikin', 'Rusak', 'akal', 'sehat']","['rakyat', 'anggap', 'bodoh', 'keluarga', 'mulyono', 'pikir', 'yg', 'ucap', 'terima', 'tel', 'mentahmentah', 'kaya', 'jamaah', 'fufufafa', 'alias', 'kaum', 'batre', 'kembung', 'yg', 'nalar', 'udah', 'mati', 'dasar', 'laku', 'keluarga', 'kere', 'munggah', 'bale', 'bikin', 'rusak', 'akal', 'sehat']",rakyat anggap bodoh keluarga mulyono pikir yg ucap terima tel mentahmentah kaya jamaah fufufafa alias kaum batre kembung yg nalar udah mati dasar laku keluarga kere munggah bale bikin rusak akal sehat
Tue Sep 17 23:21:08 +0000 2024,Bacooot fokus fufufafa guys,,"['@KompasTV', '@msaid_didu']","['Bacooot', 'fokus', 'fufufafa', 'guys']","['bacooot', 'fokus', 'fufufafa', 'guys']",bacooot fokus fufufafa guys
Tue Sep 17 23:20:37 +0000 2024,Bisa juga ya Semua diborong Kepribadian Pinokio dan Firaun bukan aku yang bilang lur,Bumi belahan timur_jln.arafura,['@faiza_Abdullah8'],"['ya', 'diborong', 'Kepribadian', 'Pinokio', 'Firaun', 'bilang', 'lur']","['ya', 'borong', 'pribadi', 'pinokio', 'firaun', 'bilang', 'lur']",ya borong pribadi pinokio firaun bilang lur
Tue Sep 17 23:20:33 +0000 2024,saya setuju sih sama adik fufufafa karena tanpa adanya INISIATIF SENDIRI ya manusia tetap gak akan gerak,Thornriver,['@gilbhas'],"['setuju', 'sih', 'adik', 'fufufafa', 'INISIATIF', 'ya', 'manusia', 'gak', 'gerak']","['tuju', 'sih', 'adik', 'fufufafa', 'inisiatif', 'ya', 'manusia', 'gak', 'gerak']",tuju sih adik fufufafa inisiatif ya manusia gak gerak
Tue Sep 17 23:20:31 +0000 2024,pdhal presidenny totalitas bntu palestin mlah ni kontol fufufafa ngata in,dc,['@geloraco'],"['pdhal', 'presidenny', 'totalitas', 'bntu', 'palestin', 'mlah', 'ni', 'kontol', 'fufufafa', 'ngata', 'in']","['pdhal', 'presidenny', 'totalitas', 'bntu', 'palestin', 'mlah', 'ni', 'kontol', 'fufufafa', 'ngata', 'in']",pdhal presidenny totalitas bntu palestin mlah ni kontol fufufafa ngata in
Tue Sep 17 23:19:56 +0000 2024,JANGAN BAWA NAMA HRS KALO KALIAN NJILAT DINASTI GAK BERANI TERIAK GANYANG FUFUFAFA KALIAN ITU MENTAL MUNAFIK,,"['@UusRsd', '@msaid_didu']","['BAWA', 'NAMA', 'HRS', 'KALO', 'NJILAT', 'DINASTI', 'GAK', 'BERANI', 'TERIAK', 'GANYANG', 'FUFUFAFA', 'MENTAL', 'MUNAFIK']","['bawa', 'nama', 'hrs', 'kalo', 'njilat', 'dinasti', 'gak', 'berani', 'teriak', 'ganyang', 'fufufafa', 'mental', 'munafik']",bawa nama hrs kalo njilat dinasti gak berani teriak ganyang fufufafa mental munafik
Tue Sep 17 23:19:47 +0000 2024,BenarkahFufufafa adlh generasi emas masa depan bangsa dukungan para ulama Yg dikira cupu ternyata suhu permesuman cacat etika bejad moral,,"['@abu_waras', '@JimlyAs']","['BenarkahFufufafa', 'adlh', 'generasi', 'emas', 'bangsa', 'dukungan', 'ulama', 'Yg', 'cupu', 'suhu', 'permesuman', 'cacat', 'etika', 'bejad', 'moral']","['benarkahfufufafa', 'adlh', 'generasi', 'emas', 'bangsa', 'dukung', 'ulama', 'yg', 'cupu', 'suhu', 'mesum', 'cacat', 'etika', 'bejad', 'moral']",benarkahfufufafa adlh generasi emas bangsa dukung ulama yg cupu suhu mesum cacat etika bejad moral
